########################################################################
# 12-phase3-enhancement-variances-data.txt — RAW DATA + FULL GO SOURCE
# Closes the open Phase-3 §4.2 enhancement variances with measurements:
#   Hamerly + previous-pixel coherence pruning, Morton/Z-order LUT layout,
#   SoA layout, and SIMD/AVX2 readiness. Plus the bit-identical alpha-drop
#   finding that fell out of the SoA probe and WAS shipped.
#
# Generated on go1.25.0 linux/amd64, nproc=4, GOMAXPROCS=4, shared container
# (NOISY: absolute ms swing run-to-run; this run carried -benchmem overhead and
# reads ~30-40% higher than a quiet run. Conclusions rest on RATIOS within one
# run, which are stable; see report 12 for the analysis).
#
# Image: docs/demo/inputs/starry.jpg (Van Gogh), opaque, ~207k px.
# Palettes: gameboy P4, pico8 P16, nes P64, lego P188 (all embedded).
#
# Variants measured (all standalone in this throwaway in-package test file,
# deleted after measurement so rejected code never ships):
#   AoS4ch     = shipped flat-Pix16 linear scan via indexRaw (4 channels) = BAR
#   Pal16_3ch  = indexRaw minus the alpha term, 16-bit promote + >>2 floor
#                kept (BIT-IDENTICAL to stdlib for opaque) -> SHIPPED
#   AoS3ch     = naive 8-bit int32, NO >>2 floor (NOT bit-identical; only
#                happens to match on this image) -> shown for contrast
#   SoA3ch     = AoS3ch but palette channels in separate slices (layout test)
#   Hamerly    = SoA + s(c) bound + previous-pixel coherence shortcut (exact)
#   LUTRowMajor / LUTMorton = 6-bit Fast LUT, row-major vs Z-order layout
#   KD         = shipped kd-tree (large-P reference)
#   Null       = read 4 bytes, write 0 (memory floor)
########################################################################

================= RAW: EXACTNESS GATE =================
    zz_variance_bench_test.go:339: nes P=64 (real img): SoA-8bit miss=0  Hamerly miss=0  pal16_3ch miss=0  coherence-hit=0.054
    zz_variance_bench_test.go:339: lego P=188 (real img): SoA-8bit miss=0  Hamerly miss=0  pal16_3ch miss=0  coherence-hit=0.136
--- PASS: TestVarianceExactness (1.29s)
PASS

================= RAW: BENCHMARKS (best-of-6, 300ms) =================
BenchmarkVar/Null-4         	    2718	    133133 ns/op	         0.6420 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Null-4         	    2688	    138683 ns/op	         0.6688 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Null-4         	    2704	    134041 ns/op	         0.6464 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Null-4         	    2731	    131699 ns/op	         0.6351 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Null-4         	    2727	    132815 ns/op	         0.6405 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Null-4         	    2702	    130450 ns/op	         0.6291 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      60	   5926290 ns/op	        28.58 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      60	   5990506 ns/op	        28.89 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      58	   6125553 ns/op	        29.54 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      57	   6681950 ns/op	        32.22 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      58	   5918871 ns/op	        28.54 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS4ch/P4-4    	      60	   6018770 ns/op	        29.03 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     158	   2246259 ns/op	        10.83 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     159	   2613139 ns/op	        12.60 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     162	   2249578 ns/op	        10.85 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     160	   2287011 ns/op	        11.03 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     162	   2250373 ns/op	        10.85 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/AoS3ch/P4-4    	     158	   2539546 ns/op	        12.25 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     148	   2269675 ns/op	        10.95 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     159	   2290561 ns/op	        11.05 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     158	   2580109 ns/op	        12.44 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     153	   2423122 ns/op	        11.69 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     153	   2286552 ns/op	        11.03 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/SoA3ch/P4-4    	     148	   2275074 ns/op	        10.97 ns/px	       0 B/op	       0 allocs/op
BenchmarkVar/Pal16_3ch/P4-4 	      79	   4312194 ns/op	        20.80 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/Pal16_3ch/P4-4 	      84	   4324568 ns/op	        20.86 ns/px	      64 B/op	       1 allocs/op
BenchmarkVar/Pal16_3ch/P4-4 	      80	   4283919 ns/op	        20.66 ns/px	      64 B/op	       1 allocs/op
